CCAA,INFRACCIÓN,AÑO,EDAD,SEXO,VICTIMAS
ASTURIAS (PRINCIPADO DE),ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
ASTURIAS (PRINCIPADO DE),ADMÓN. JUSTICIA,2010,0-13,MASCULINO,0
ASTURIAS (PRINCIPADO DE),ORDEN PÚBLICO,2010,0-13,MASCULINO,0
ASTURIAS (PRINCIPADO DE),LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
ASTURIAS (PRINCIPADO DE),OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,0
BALEARS (ILLES),CONTRA LAS PERSONAS,2010,0-13,MASCULINO,116
BALEARS (ILLES),CONTRA LA LIBERTAD,2010,0-13,MASCULINO,12
BALEARS (ILLES),LIBERTAD SEXUAL,2010,0-13,MASCULINO,20
BALEARS (ILLES),RELACIONES FAMILIARES,2010,0-13,MASCULINO,21
BALEARS (ILLES),PATRIMONIO,2010,0-13,MASCULINO,61
BALEARS (ILLES),SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,3
BALEARS (ILLES),FALSEDADES,2010,0-13,MASCULINO,0
BALEARS (ILLES),ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
BALEARS (ILLES),ADMÓN. JUSTICIA,2010,0-13,MASCULINO,0
BALEARS (ILLES),ORDEN PÚBLICO,2010,0-13,MASCULINO,2
BALEARS (ILLES),LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
BALEARS (ILLES),OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,0
CANARIAS,CONTRA LAS PERSONAS,2010,0-13,MASCULINO,247
CANARIAS,CONTRA LA LIBERTAD,2010,0-13,MASCULINO,18
CANARIAS,LIBERTAD SEXUAL,2010,0-13,MASCULINO,43
CANARIAS,RELACIONES FAMILIARES,2010,0-13,MASCULINO,24
CANARIAS,PATRIMONIO,2010,0-13,MASCULINO,87
CANARIAS,SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,2
CANARIAS,FALSEDADES,2010,0-13,MASCULINO,0
CANARIAS,ADMÓN. PÚBLICA,2010,0-13,MASCULINO,1
CANARIAS,ADMÓN. JUSTICIA,2010,0-13,MASCULINO,0
CANARIAS,ORDEN PÚBLICO,2010,0-13,MASCULINO,1
CANARIAS,LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
CANARIAS,OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,1
CANTABRIA,CONTRA LAS PERSONAS,2010,0-13,MASCULINO,43
CANTABRIA,CONTRA LA LIBERTAD,2010,0-13,MASCULINO,3
CANTABRIA,LIBERTAD SEXUAL,2010,0-13,MASCULINO,6
CANTABRIA,RELACIONES FAMILIARES,2010,0-13,MASCULINO,1
CANTABRIA,PATRIMONIO,2010,0-13,MASCULINO,17
CANTABRIA,SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,2
CANTABRIA,FALSEDADES,2010,0-13,MASCULINO,0
CANTABRIA,ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
CANTABRIA,ADMÓN. JUSTICIA,2010,0-13,MASCULINO,0
CANTABRIA,ORDEN PÚBLICO,2010,0-13,MASCULINO,2
CANTABRIA,LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
CANTABRIA,OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,0
CASTILLA Y LEÓN,CONTRA LAS PERSONAS,2010,0-13,MASCULINO,236
CASTILLA Y LEÓN,CONTRA LA LIBERTAD,2010,0-13,MASCULINO,6
CASTILLA Y LEÓN,LIBERTAD SEXUAL,2010,0-13,MASCULINO,10
CASTILLA Y LEÓN,RELACIONES FAMILIARES,2010,0-13,MASCULINO,24
CASTILLA Y LEÓN,PATRIMONIO,2010,0-13,MASCULINO,83
CASTILLA Y LEÓN,SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,1
CASTILLA Y LEÓN,FALSEDADES,2010,0-13,MASCULINO,0
CASTILLA Y LEÓN,ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
CASTILLA Y LEÓN,ADMÓN. JUSTICIA,2010,0-13,MASCULINO,0
CASTILLA Y LEÓN,ORDEN PÚBLICO,2010,0-13,MASCULINO,4
CASTILLA Y LEÓN,LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
CASTILLA Y LEÓN,OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,1
CASTILLA - LA MANCHA,CONTRA LAS PERSONAS,2010,0-13,MASCULINO,187
CASTILLA - LA MANCHA,CONTRA LA LIBERTAD,2010,0-13,MASCULINO,9
CASTILLA - LA MANCHA,LIBERTAD SEXUAL,2010,0-13,MASCULINO,22
CASTILLA - LA MANCHA,RELACIONES FAMILIARES,2010,0-13,MASCULINO,16
CASTILLA - LA MANCHA,PATRIMONIO,2010,0-13,MASCULINO,74
CASTILLA - LA MANCHA,SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,1
CASTILLA - LA MANCHA,FALSEDADES,2010,0-13,MASCULINO,4
CASTILLA - LA MANCHA,ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
CASTILLA - LA MANCHA,ADMÓN. JUSTICIA,2010,0-13,MASCULINO,0
CASTILLA - LA MANCHA,ORDEN PÚBLICO,2010,0-13,MASCULINO,8
CASTILLA - LA MANCHA,LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
CASTILLA - LA MANCHA,OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,1
CATALUÑA,CONTRA LAS PERSONAS,2010,0-13,MASCULINO,1
CATALUÑA,CONTRA LA LIBERTAD,2010,0-13,MASCULINO,1
CATALUÑA,LIBERTAD SEXUAL,2010,0-13,MASCULINO,0
CATALUÑA,RELACIONES FAMILIARES,2010,0-13,MASCULINO,4
CATALUÑA,PATRIMONIO,2010,0-13,MASCULINO,5
CATALUÑA,SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,0
CATALUÑA,FALSEDADES,2010,0-13,MASCULINO,0
CATALUÑA,ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
CATALUÑA,ADMÓN. JUSTICIA,2010,0-13,MASCULINO,0
CATALUÑA,ORDEN PÚBLICO,2010,0-13,MASCULINO,1
CATALUÑA,LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
CATALUÑA,OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,3
COMUNITAT VALENCIANA,CONTRA LAS PERSONAS,2010,0-13,MASCULINO,603
COMUNITAT VALENCIANA,CONTRA LA LIBERTAD,2010,0-13,MASCULINO,44
COMUNITAT VALENCIANA,LIBERTAD SEXUAL,2010,0-13,MASCULINO,62
COMUNITAT VALENCIANA,RELACIONES FAMILIARES,2010,0-13,MASCULINO,73
COMUNITAT VALENCIANA,PATRIMONIO,2010,0-13,MASCULINO,353
COMUNITAT VALENCIANA,SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,2
COMUNITAT VALENCIANA,FALSEDADES,2010,0-13,MASCULINO,1
COMUNITAT VALENCIANA,ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
COMUNITAT VALENCIANA,ADMÓN. JUSTICIA,2010,0-13,MASCULINO,2
COMUNITAT VALENCIANA,ORDEN PÚBLICO,2010,0-13,MASCULINO,9
COMUNITAT VALENCIANA,LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
COMUNITAT VALENCIANA,OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,3
EXTREMADURA,CONTRA LAS PERSONAS,2010,0-13,MASCULINO,78
EXTREMADURA,CONTRA LA LIBERTAD,2010,0-13,MASCULINO,6
EXTREMADURA,LIBERTAD SEXUAL,2010,0-13,MASCULINO,9
EXTREMADURA,RELACIONES FAMILIARES,2010,0-13,MASCULINO,3
EXTREMADURA,PATRIMONIO,2010,0-13,MASCULINO,18
EXTREMADURA,SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,2
EXTREMADURA,FALSEDADES,2010,0-13,MASCULINO,0
EXTREMADURA,ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
EXTREMADURA,ADMÓN. JUSTICIA,2010,0-13,MASCULINO,0
EXTREMADURA,ORDEN PÚBLICO,2010,0-13,MASCULINO,0
EXTREMADURA,LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
EXTREMADURA,OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,0
GALICIA,CONTRA LAS PERSONAS,2010,0-13,MASCULINO,128
GALICIA,CONTRA LA LIBERTAD,2010,0-13,MASCULINO,9
GALICIA,LIBERTAD SEXUAL,2010,0-13,MASCULINO,18
GALICIA,RELACIONES FAMILIARES,2010,0-13,MASCULINO,11
GALICIA,PATRIMONIO,2010,0-13,MASCULINO,42
GALICIA,SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,4
GALICIA,FALSEDADES,2010,0-13,MASCULINO,0
GALICIA,ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
GALICIA,ADMÓN. JUSTICIA,2010,0-13,MASCULINO,0
GALICIA,ORDEN PÚBLICO,2010,0-13,MASCULINO,2
GALICIA,LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
GALICIA,OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,0
MADRID (COMUNIDAD DE),CONTRA LAS PERSONAS,2010,0-13,MASCULINO,399
MADRID (COMUNIDAD DE),CONTRA LA LIBERTAD,2010,0-13,MASCULINO,29
MADRID (COMUNIDAD DE),LIBERTAD SEXUAL,2010,0-13,MASCULINO,43
MADRID (COMUNIDAD DE),RELACIONES FAMILIARES,2010,0-13,MASCULINO,38
MADRID (COMUNIDAD DE),PATRIMONIO,2010,0-13,MASCULINO,497
MADRID (COMUNIDAD DE),SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,2
MADRID (COMUNIDAD DE),FALSEDADES,2010,0-13,MASCULINO,3
MADRID (COMUNIDAD DE),ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
MADRID (COMUNIDAD DE),ADMÓN. JUSTICIA,2010,0-13,MASCULINO,0
MADRID (COMUNIDAD DE),ORDEN PÚBLICO,2010,0-13,MASCULINO,8
MADRID (COMUNIDAD DE),LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
MADRID (COMUNIDAD DE),OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,5
MURCIA (REGIÓN DE),CONTRA LAS PERSONAS,2010,0-13,MASCULINO,149
MURCIA (REGIÓN DE),CONTRA LA LIBERTAD,2010,0-13,MASCULINO,9
MURCIA (REGIÓN DE),LIBERTAD SEXUAL,2010,0-13,MASCULINO,13
MURCIA (REGIÓN DE),RELACIONES FAMILIARES,2010,0-13,MASCULINO,11
MURCIA (REGIÓN DE),PATRIMONIO,2010,0-13,MASCULINO,65
MURCIA (REGIÓN DE),SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,0
MURCIA (REGIÓN DE),FALSEDADES,2010,0-13,MASCULINO,0
MURCIA (REGIÓN DE),ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
MURCIA (REGIÓN DE),ADMÓN. JUSTICIA,2010,0-13,MASCULINO,1
MURCIA (REGIÓN DE),ORDEN PÚBLICO,2010,0-13,MASCULINO,2
MURCIA (REGIÓN DE),LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
MURCIA (REGIÓN DE),OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,3
NAVARRA (COMUNIDAD FORAL DE),CONTRA LAS PERSONAS,2010,0-13,MASCULINO,35
NAVARRA (COMUNIDAD FORAL DE),CONTRA LA LIBERTAD,2010,0-13,MASCULINO,4
NAVARRA (COMUNIDAD FORAL DE),LIBERTAD SEXUAL,2010,0-13,MASCULINO,3
NAVARRA (COMUNIDAD FORAL DE),RELACIONES FAMILIARES,2010,0-13,MASCULINO,1
NAVARRA (COMUNIDAD FORAL DE),PATRIMONIO,2010,0-13,MASCULINO,11
NAVARRA (COMUNIDAD FORAL DE),SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,0
NAVARRA (COMUNIDAD FORAL DE),FALSEDADES,2010,0-13,MASCULINO,0
NAVARRA (COMUNIDAD FORAL DE),ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
NAVARRA (COMUNIDAD FORAL DE),ADMÓN. JUSTICIA,2010,0-13,MASCULINO,0
NAVARRA (COMUNIDAD FORAL DE),ORDEN PÚBLICO,2010,0-13,MASCULINO,1
NAVARRA (COMUNIDAD FORAL DE),LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
NAVARRA (COMUNIDAD FORAL DE),OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,0
PAÍS VASCO,CONTRA LAS PERSONAS,2010,0-13,MASCULINO,0
PAÍS VASCO,CONTRA LA LIBERTAD,2010,0-13,MASCULINO,0
PAÍS VASCO,LIBERTAD SEXUAL,2010,0-13,MASCULINO,9
PAÍS VASCO,RELACIONES FAMILIARES,2010,0-13,MASCULINO,0
PAÍS VASCO,PATRIMONIO,2010,0-13,MASCULINO,2
PAÍS VASCO,SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,0
PAÍS VASCO,FALSEDADES,2010,0-13,MASCULINO,0
PAÍS VASCO,ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
PAÍS VASCO,ADMÓN. JUSTICIA,2010,0-13,MASCULINO,0
PAÍS VASCO,ORDEN PÚBLICO,2010,0-13,MASCULINO,0
PAÍS VASCO,LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
PAÍS VASCO,OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,0
RIOJA (LA),CONTRA LAS PERSONAS,2010,0-13,MASCULINO,31
RIOJA (LA),CONTRA LA LIBERTAD,2010,0-13,MASCULINO,1
RIOJA (LA),LIBERTAD SEXUAL,2010,0-13,MASCULINO,0
RIOJA (LA),RELACIONES FAMILIARES,2010,0-13,MASCULINO,5
RIOJA (LA),PATRIMONIO,2010,0-13,MASCULINO,7
RIOJA (LA),SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,0
RIOJA (LA),FALSEDADES,2010,0-13,MASCULINO,0
RIOJA (LA),ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
RIOJA (LA),ADMÓN. JUSTICIA,2010,0-13,MASCULINO,0
RIOJA (LA),ORDEN PÚBLICO,2010,0-13,MASCULINO,0
RIOJA (LA),LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
RIOJA (LA),OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,0
CIUDAD AUTÓNOMA DE CEUTA,CONTRA LAS PERSONAS,2010,0-13,MASCULINO,15
CIUDAD AUTÓNOMA DE CEUTA,CONTRA LA LIBERTAD,2010,0-13,MASCULINO,1
CIUDAD AUTÓNOMA DE CEUTA,LIBERTAD SEXUAL,2010,0-13,MASCULINO,3
CIUDAD AUTÓNOMA DE CEUTA,RELACIONES FAMILIARES,2010,0-13,MASCULINO,3
CIUDAD AUTÓNOMA DE CEUTA,PATRIMONIO,2010,0-13,MASCULINO,10
CIUDAD AUTÓNOMA DE CEUTA,SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,0
CIUDAD AUTÓNOMA DE CEUTA,FALSEDADES,2010,0-13,MASCULINO,0
CIUDAD AUTÓNOMA DE CEUTA,ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
CIUDAD AUTÓNOMA DE CEUTA,ADMÓN. JUSTICIA,2010,0-13,MASCULINO,0
CIUDAD AUTÓNOMA DE CEUTA,ORDEN PÚBLICO,2010,0-13,MASCULINO,0
CIUDAD AUTÓNOMA DE CEUTA,LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
CIUDAD AUTÓNOMA DE CEUTA,OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,0
CIUDAD AUTÓNOMA DE MELILLA,CONTRA LAS PERSONAS,2010,0-13,MASCULINO,20
CIUDAD AUTÓNOMA DE MELILLA,CONTRA LA LIBERTAD,2010,0-13,MASCULINO,0
CIUDAD AUTÓNOMA DE MELILLA,LIBERTAD SEXUAL,2010,0-13,MASCULINO,1
CIUDAD AUTÓNOMA DE MELILLA,RELACIONES FAMILIARES,2010,0-13,MASCULINO,2
CIUDAD AUTÓNOMA DE MELILLA,PATRIMONIO,2010,0-13,MASCULINO,9
CIUDAD AUTÓNOMA DE MELILLA,SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,0
CIUDAD AUTÓNOMA DE MELILLA,FALSEDADES,2010,0-13,MASCULINO,0
CIUDAD AUTÓNOMA DE MELILLA,ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
CIUDAD AUTÓNOMA DE MELILLA,ADMÓN. JUSTICIA,2010,0-13,MASCULINO,0
CIUDAD AUTÓNOMA DE MELILLA,ORDEN PÚBLICO,2010,0-13,MASCULINO,2
CIUDAD AUTÓNOMA DE MELILLA,LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
CIUDAD AUTÓNOMA DE MELILLA,OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,1
EXTRANJERA,CONTRA LAS PERSONAS,2010,0-13,MASCULINO,2
EXTRANJERA,CONTRA LA LIBERTAD,2010,0-13,MASCULINO,1
EXTRANJERA,LIBERTAD SEXUAL,2010,0-13,MASCULINO,0
EXTRANJERA,RELACIONES FAMILIARES,2010,0-13,MASCULINO,1
EXTRANJERA,PATRIMONIO,2010,0-13,MASCULINO,16
EXTRANJERA,SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,0
EXTRANJERA,FALSEDADES,2010,0-13,MASCULINO,0
EXTRANJERA,ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
EXTRANJERA,ADMÓN. JUSTICIA,2010,0-13,MASCULINO,0
EXTRANJERA,ORDEN PÚBLICO,2010,0-13,MASCULINO,0
EXTRANJERA,LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
EXTRANJERA,OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,0
DESCONOCIDA,CONTRA LAS PERSONAS,2010,0-13,MASCULINO,0
DESCONOCIDA,CONTRA LA LIBERTAD,2010,0-13,MASCULINO,0
DESCONOCIDA,LIBERTAD SEXUAL,2010,0-13,MASCULINO,0
DESCONOCIDA,RELACIONES FAMILIARES,2010,0-13,MASCULINO,1
DESCONOCIDA,PATRIMONIO,2010,0-13,MASCULINO,0
DESCONOCIDA,SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,0
DESCONOCIDA,FALSEDADES,2010,0-13,MASCULINO,0
DESCONOCIDA,ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
DESCONOCIDA,ADMÓN. JUSTICIA,2010,0-13,MASCULINO,0
DESCONOCIDA,ORDEN PÚBLICO,2010,0-13,MASCULINO,0
DESCONOCIDA,LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
DESCONOCIDA,OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,0
ANDALUCÍA,CONTRA LAS PERSONAS,2011,0-13,MASCULINO,821
ANDALUCÍA,CONTRA LA LIBERTAD,2011,0-13,MASCULINO,60
ANDALUCÍA,LIBERTAD SEXUAL,2011,0-13,MASCULINO,95
ANDALUCÍA,RELACIONES FAMILIARES,2011,0-13,MASCULINO,88
ANDALUCÍA,PATRIMONIO,2011,0-13,MASCULINO,378
ANDALUCÍA,SEGURIDAD COLECTIVA,2011,0-13,MASCULINO,4
ANDALUCÍA,FALSEDADES,2011,0-13,MASCULINO,2
ANDALUCÍA,ADMÓN. PÚBLICA,2011,0-13,MASCULINO,1
ANDALUCÍA,ADMÓN. JUSTICIA,2011,0-13,MASCULINO,3
ANDALUCÍA,ORDEN PÚBLICO,2011,0-13,MASCULINO,27
ANDALUCÍA,LEGISLACIÓN ESPECIAL,2011,0-13,MASCULINO,0
ANDALUCÍA,OTRAS INFRACCIONES PENALES,2011,0-13,MASCULINO,3
ARAGÓN,CONTRA LAS PERSONAS,2011,0-13,MASCULINO,120
ARAGÓN,CONTRA LA LIBERTAD,2011,0-13,MASCULINO,16
ARAGÓN,LIBERTAD SEXUAL,2011,0-13,MASCULINO,13
ARAGÓN,RELACIONES FAMILIARES,2011,0-13,MASCULINO,19
ARAGÓN,PATRIMONIO,2011,0-13,MASCULINO,75
ARAGÓN,SEGURIDAD COLECTIVA,2011,0-13,MASCULINO,3
ARAGÓN,FALSEDADES,2011,0-13,MASCULINO,0
ARAGÓN,ADMÓN. PÚBLICA,2011,0-13,MASCULINO,0
ARAGÓN,ADMÓN. JUSTICIA,2011,0-13,MASCULINO,0
ARAGÓN,ORDEN PÚBLICO,2011,0-13,MASCULINO,15
ARAGÓN,LEGISLACIÓN ESPECIAL,2011,0-13,MASCULINO,0
ARAGÓN,OTRAS INFRACCIONES PENALES,2011,0-13,MASCULINO,0
ASTURIAS (PRINCIPADO DE),CONTRA LAS PERSONAS,2011,0-13,MASCULINO,74
ASTURIAS (PRINCIPADO DE),CONTRA LA LIBERTAD,2011,0-13,MASCULINO,6
ASTURIAS (PRINCIPADO DE),LIBERTAD SEXUAL,2011,0-13,MASCULINO,6
ASTURIAS (PRINCIPADO DE),RELACIONES FAMILIARES,2011,0-13,MASCULINO,5
ASTURIAS (PRINCIPADO DE),PATRIMONIO,2011,0-13,MASCULINO,28
ASTURIAS (PRINCIPADO DE),SEGURIDAD COLECTIVA,2011,0-13,MASCULINO,0
ASTURIAS (PRINCIPADO DE),FALSEDADES,2011,0-13,MASCULINO,0
ASTURIAS (PRINCIPADO DE),ADMÓN. PÚBLICA,2011,0-13,MASCULINO,0
ASTURIAS (PRINCIPADO DE),ADMÓN. JUSTICIA,2011,0-13,MASCULINO,0
ASTURIAS (PRINCIPADO DE),ORDEN PÚBLICO,2011,0-13,MASCULINO,0
ASTURIAS (PRINCIPADO DE),LEGISLACIÓN ESPECIAL,2011,0-13,MASCULINO,0
ASTURIAS (PRINCIPADO DE),OTRAS INFRACCIONES PENALES,2011,0-13,MASCULINO,0
BALEARS (ILLES),CONTRA LAS PERSONAS,2011,0-13,MASCULINO,136
BALEARS (ILLES),CONTRA LA LIBERTAD,2011,0-13,MASCULINO,17
BALEARS (ILLES),LIBERTAD SEXUAL,2011,0-13,MASCULINO,35
BALEARS (ILLES),RELACIONES FAMILIARES,2011,0-13,MASCULINO,14
BALEARS (ILLES),PATRIMONIO,2011,0-13,MASCULINO,101
BALEARS (ILLES),SEGURIDAD COLECTIVA,2011,0-13,MASCULINO,36
BALEARS (ILLES),FALSEDADES,2011,0-13,MASCULINO,3
BALEARS (ILLES),ADMÓN. PÚBLICA,2011,0-13,MASCULINO,0
BALEARS (ILLES),ADMÓN. JUSTICIA,2011,0-13,MASCULINO,4
BALEARS (ILLES),ORDEN PÚBLICO,2011,0-13,MASCULINO,32
BALEARS (ILLES),LEGISLACIÓN ESPECIAL,2011,0-13,MASCULINO,0
BALEARS (ILLES),OTRAS INFRACCIONES PENALES,2011,0-13,MASCULINO,1
CANARIAS,CONTRA LAS PERSONAS,2011,0-13,MASCULINO,337
CANARIAS,CONTRA LA LIBERTAD,2011,0-13,MASCULINO,20
CANARIAS,LIBERTAD SEXUAL,2011,0-13,MASCULINO,39
CANARIAS,RELACIONES FAMILIARES,2011,0-13,MASCULINO,57
CANARIAS,PATRIMONIO,2011,0-13,MASCULINO,69
CANARIAS,SEGURIDAD COLECTIVA,2011,0-13,MASCULINO,14
CANARIAS,FALSEDADES,2011,0-13,MASCULINO,0
CANARIAS,ADMÓN. PÚBLICA,2011,0-13,MASCULINO,0
CANARIAS,ADMÓN. JUSTICIA,2011,0-13,MASCULINO,3
CANARIAS,ORDEN PÚBLICO,2011,0-13,MASCULINO,13
CANARIAS,LEGISLACIÓN ESPECIAL,2011,0-13,MASCULINO,0
CANARIAS,OTRAS INFRACCIONES PENALES,2011,0-13,MASCULINO,0
CANTABRIA,CONTRA LAS PERSONAS,2011,0-13,MASCULINO,26
CANTABRIA,CONTRA LA LIBERTAD,2011,0-13,MASCULINO,8
CANTABRIA,LIBERTAD SEXUAL,2011,0-13,MASCULINO,4
CANTABRIA,RELACIONES FAMILIARES,2011,0-13,MASCULINO,3
CANTABRIA,PATRIMONIO,2011,0-13,MASCULINO,25
CANTABRIA,SEGURIDAD COLECTIVA,2011,0-13,MASCULINO,0
CANTABRIA,FALSEDADES,2011,0-13,MASCULINO,0
CANTABRIA,ADMÓN. PÚBLICA,2011,0-13,MASCULINO,0
CANTABRIA,ADMÓN. JUSTICIA,2011,0-13,MASCULINO,0
CANTABRIA,ORDEN PÚBLICO,2011,0-13,MASCULINO,10
CANTABRIA,LEGISLACIÓN ESPECIAL,2011,0-13,MASCULINO,0
CANTABRIA,OTRAS INFRACCIONES PENALES,2011,0-13,MASCULINO,2
CASTILLA Y LEÓN,CONTRA LAS PERSONAS,2011,0-13,MASCULINO,249
CASTILLA Y LEÓN,CONTRA LA LIBERTAD,2011,0-13,MASCULINO,8
CASTILLA Y LEÓN,LIBERTAD SEXUAL,2011,0-13,MASCULINO,10
CASTILLA Y LEÓN,RELACIONES FAMILIARES,2011,0-13,MASCULINO,9
